n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node1,70b3d5499aa0da7c,39,45.22837,17.36241,0.3516,0.8770,-0.3138,-97,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,40,45.22836,17.36256,0.4490,0.9456,-0.4929,-99,6.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,44,45.22832,17.36329,-0.8163,0.2736,-0.5813,-103,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,42,45.22827,17.36431,0.3145,0.8154,-0.3217,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,45,45.22832,17.36344,-0.8197,0.2147,-0.5646,-102,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,43,45.22826,17.36446,0.4935,0.9027,-0.3083,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,44,45.22824,17.36462,0.1804,0.9551,-0.2954,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22823,17.36477,0.1687,0.9202,-0.2998,-98,-0.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,47,45.22822,17.36509,0.2263,0.8027,-0.3710,-101,5.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,0,45.22811,17.37012,-0.9991,0.1178,-0.4904,-109,-0.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,1,45.22813,17.3719,-1.0026,0.2036,-0.6497,-107,1.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,1,45.2281,17.37061,0.4866,0.8232,-0.3220,-102,4.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,4,45.22813,17.37226,-0.9583,-0.1149,-0.9774,-108,1.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,5,45.22813,17.37278,0.3964,0.9373,-0.3092,-111,-2.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,7,45.22814,17.37263,-0.5204,0.4598,-0.4851,-112,-2.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,8,45.22813,17.37315,0.2622,0.9636,-0.3586,-112,-2.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,12,45.22817,17.37506,-0.6567,0.3903,-0.7021,-116,-6.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,13,45.22817,17.37565,0.3212,0.9729,-0.4264,-114,-4.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,16,45.22817,17.37603,0.3505,0.8593,-0.3359,-117,-6.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,24,45.22821,17.3789,0.3269,1.1050,-0.3401,-114,-4.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,41,45.22872,17.38464,0.3630,0.8689,-0.3177,-120,-9.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,3,45.22814,17.3728,0.3163,0.9302,-0.3190,-130,-21.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,32,45.2283,17.36428,0.1479,0.9141,-0.4526,-114,-6.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,37,45.22841,17.36192,0.2374,1.0956,-0.1743,-103,2.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,40,45.22841,17.36158,0.2170,0.7854,-0.3691,-98,4.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22851,17.35926,0.2874,0.8934,-0.4158,-69,5.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,48,45.22851,17.35899,0.2432,1.0200,-0.2963,-52,7.0,8,1,11,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,0,45.22842,17.35959,-0.7416,0.5222,-0.5009,-60,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,1,45.22848,17.35827,-0.7379,0.5732,-0.4232,-59,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,2,45.22852,17.35825,0.1603,0.9592,-0.3030,-75,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,4,45.22848,17.35827,-0.6869,0.6027,-0.5267,-69,8.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,4,45.22852,17.35826,0.0769,0.9552,-0.3188,-69,8.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,6,45.22848,17.35827,-0.6294,0.5771,-0.5908,-67,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,7,45.22848,17.35827,-0.6742,0.5868,-0.5378,-70,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,7,45.22852,17.35826,0.0886,0.9746,-0.2882,-64,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,8,45.22848,17.35827,-0.6718,0.5715,-0.5420,-83,8.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,9,45.22852,17.35826,0.1227,0.9680,-0.2830,-64,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,11,45.22852,17.35826,0.1111,0.9661,-0.3129,-62,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,12,45.22848,17.35827,-0.6760,0.5563,-0.5201,-60,6.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,14,45.22852,17.35831,0.1097,0.9651,-0.3121,-66,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,16,45.22853,17.35832,0.1056,0.9623,-0.3077,-77,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,16,45.22848,17.35827,-0.6910,0.5609,-0.5203,-76,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,18,45.22853,17.35832,0.1168,0.9636,-0.3134,-70,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,19,45.22848,17.35827,-0.6877,0.5579,-0.5245,-64,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,21,45.22853,17.35833,0.1219,0.9598,-0.3191,-68,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,22,45.22853,17.35833,0.0812,0.9840,-0.2913,-65,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,25,45.22853,17.35833,0.1055,0.9253,-0.3507,-71,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,26,45.22848,17.35827,-0.7682,0.3821,-0.6355,-80,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,28,45.22848,17.35827,-0.7200,0.4535,-0.5522,-65,8.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,31,45.22853,17.35833,0.2422,0.9415,-0.3230,-77,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,34,45.22853,17.35833,0.1350,0.9640,-0.3602,-71,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,35,45.22848,17.35827,-0.7653,0.5084,-0.4872,-70,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,38,45.22853,17.35835,0.1835,0.9221,-0.3854,-60,8.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,39,45.22853,17.35835,0.1669,0.9294,-0.3857,-61,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,38,45.22848,17.35827,-0.7552,0.5040,-0.5002,-60,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,39,45.22848,17.35827,-0.7010,0.5210,-0.5338,-68,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,42,45.22848,17.35827,-0.7013,0.5286,-0.5464,-64,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22853,17.35835,0.1417,0.9559,-0.3173,-68,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,46,45.22853,17.35835,0.1548,0.9568,-0.3313,-57,5.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,47,45.22853,17.35835,0.1409,0.9558,-0.3440,-57,5.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,5,45.22824,17.36575,0.1865,0.9518,-0.2150,-109,-0.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,11,45.22821,17.36645,0.2267,0.8488,-0.2742,-111,-3.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,21,45.22813,17.37098,0.2946,0.8884,-0.2928,-121,-11.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,24,45.22813,17.37135,0.3895,0.8545,-0.3055,-124,-13.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,30,45.22814,17.37383,0.3165,0.8901,-0.3398,-124,-13.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,32,45.22815,17.374,0.3135,0.9364,-0.2932,-127,-16.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,38,45.22816,17.37635,0.1313,1.0494,-0.3160,-127,-16.0,11,0,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,3,45.22851,17.35826,-0.0096,0.9464,-0.3754,-75,4.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,5,45.22851,17.35826,0.0126,0.9316,-0.4235,-74,4.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,8,45.22851,17.35826,0.0024,0.9330,-0.4135,-76,6.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,11,45.22851,17.35826,-0.4019,0.8807,-0.2698,-80,5.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,12,45.22851,17.35826,0.0581,1.0320,-0.1581,-76,8.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,14,45.22851,17.35826,0.0704,0.9637,-0.3403,-73,6.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,17,45.22851,17.35826,0.1196,0.9601,-0.3230,-80,4.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,22,45.22851,17.35826,0.0558,0.9772,-0.3239,-77,3.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,30,45.22851,17.35826,0.1499,0.9664,-0.3893,-80,4.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,37,45.22851,17.35826,0.2689,0.8062,-0.3236,-111,-2.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,39,45.22846,17.35919,0.3483,1.0459,-0.1387,-110,0.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22843,17.35995,0.5034,1.0159,-0.1667,-124,-21.0,4,1,12,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,40,45.22865,17.38415,0.3695,0.8303,-0.3706,-128,-14.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,38,45.22829,17.36414,-0.9644,0.3550,-0.4032,-115,-3.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,39,45.22841,17.36132,-0.8175,0.5306,-0.1223,-111,-0.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,38,45.22832,17.36196,0.1611,0.8472,-0.8052,-109,2.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,41,45.22842,17.36102,-0.9512,0.4329,-0.6876,-104,5.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,42,45.22837,17.36108,0.4623,0.7086,-0.5592,-86,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,44,45.22848,17.35862,0.3726,0.7627,-0.5957,-60,-1.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,3,45.22852,17.35826,-0.5826,0.6583,-0.5378,-75,7.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,4,45.22848,17.35824,0.2408,0.9618,-0.3608,-79,6.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,6,45.22852,17.35826,-0.6299,0.6428,-0.5140,-74,7.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,9,45.22852,17.35826,-0.6326,0.6344,-0.5121,-78,8.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,12,45.22852,17.35826,-0.6538,0.5624,-0.5752,-84,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,13,45.22847,17.3583,0.3629,0.8660,-0.4164,-85,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,14,45.22847,17.3583,0.3013,0.8973,-0.3849,-85,8.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,15,45.22852,17.35826,-0.6554,0.5718,-0.5605,-83,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,17,45.22847,17.3583,0.2939,0.8945,-0.3824,-78,7.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,18,45.22852,17.35826,-0.6274,0.5602,-0.6161,-88,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,20,45.22847,17.3583,0.3436,0.8849,-0.4010,-77,8.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,20,45.22852,17.35826,-0.6642,0.5917,-0.5754,-73,7.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,28,45.22852,17.35826,-0.6348,0.6034,-0.5465,-81,3.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,29,45.22852,17.35826,-0.6390,0.5836,-0.5347,-74,6.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,31,45.22847,17.35832,0.3588,0.9017,-0.3358,-83,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,32,45.22847,17.35832,0.4459,0.7893,-0.4460,-81,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,36,45.22847,17.35832,0.5027,0.8800,-0.3770,-73,6.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,37,45.22848,17.35834,0.4565,0.7584,-0.5518,-78,7.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,37,45.2285,17.35883,-0.6520,0.8083,-0.7030,-85,6.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,38,45.22848,17.35836,0.4836,0.8490,-0.4147,-82,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,39,45.22848,17.3584,0.5270,0.7235,-0.2465,-85,8.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,41,45.22844,17.3599,0.4302,0.8076,-0.4629,-93,4.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,42,45.22844,17.36006,0.2975,0.7568,-0.4702,-96,3.0,4,0,9,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,43,45.22844,17.36023,0.5276,0.6504,-0.2736,-101,7.0,4,0,9,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,0,45.22839,17.36199,-0.5438,0.3811,-0.5259,-122,-11.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,0,45.22811,17.3685,0.5393,0.9370,-0.2209,-120,-9.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,6,45.22811,17.37124,0.5220,0.7288,-0.4000,-119,-8.0,6,1,10,"4
",45.22851,17.35531
