n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node1,70b3d5499aa0da7c,8,45.80537,15.95763,0.6099,0.9113,0.0674,-58,8.0,5,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80535,15.9575,0.4094,0.1973,0.2670,-97,3.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80536,15.95751,1.1873,-1.1510,0.2566,-91,6.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80537,15.95753,0.6376,-0.3363,0.3152,-84,8.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80538,15.95755,2.1648,-3.2583,-2.1416,-81,7.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80552,15.95793,0.8091,-0.5739,-0.0250,-97,6.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80552,15.95793,0.8606,-0.5164,0.0034,-98,6.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80553,15.95793,0.9788,-0.3361,0.0696,-99,5.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80553,15.95793,0.9133,-0.4132,0.0839,-97,5.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80552,15.95793,0.8369,-0.3936,0.3163,-95,6.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80553,15.95793,0.8376,-0.4205,0.2913,-90,7.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80553,15.95793,0.8568,-0.3386,0.4274,-91,8.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80553,15.95793,0.7998,-0.4813,0.3491,-92,7.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80553,15.95793,0.8293,-0.4371,0.3300,-93,7.0,4,0,9,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80547,15.95787,0.8048,-0.6781,-0.0205,-82,7.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80547,15.95787,0.8253,-0.7200,0.3612,-71,7.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80549,15.95786,1.5898,-2.3743,-1.0505,-68,7.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80552,15.95786,1.5988,-0.6438,0.5167,-73,7.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80553,15.95786,0.8248,-0.7072,0.3027,-71,7.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80553,15.95786,0.8356,0.0468,0.0853,-92,6.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80553,15.95786,1.0570,-0.7391,0.0004,-90,5.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.8055,15.95787,0.8336,-0.5541,0.4031,-80,8.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80546,15.95788,0.7457,0.2368,0.4272,-74,8.0,8,1,10,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80509,15.9581,0.5659,-0.2758,0.5092,-105,-0.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80508,15.95809,0.6038,-0.5126,0.3088,-112,-5.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80507,15.95807,1.0032,-0.5194,0.2777,-110,-3.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80506,15.95805,0.7340,0.2252,0.3428,-119,-11.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80505,15.95803,0.5063,-0.0791,0.3073,-116,-8.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80481,15.95819,0.8245,-0.6940,0.2437,-111,-3.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.8048,15.95823,0.8276,-0.7250,0.3698,-118,-9.0,4,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.8048,15.95823,0.3409,-0.0179,0.2375,-121,-11.0,4,0,12,"3
",45.805630,15.957969
